w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_top_right
17.6,7.0,2.2,16.4,3.2,29.2,0.0,0.5,14.0,27.0,0.175,0.08,2.0,29.0,0.105,0.08,0.1,0.36,0.4,0.6,1.5,4.2,12.0,15.0,1.0,2.1,2.1,0.6,0.29,1.2,0.271051106500962
17.6,2.2,2.2,5.6,22.4,48.4,0.0,0.51,14.0,29.0,0.14,0.03,2.0,35.0,0.14,0.07,0.1,0.19,2.2,2.0,4.7,2.6,12.0,26.0,4.9,3.4,0.2,1.6,0.26,2.1,0.271043997446957
17.6,2.2,2.2,5.6,22.4,48.4,0.0,0.51,14.0,29.0,0.14,0.03,2.0,35.0,0.14,0.07,0.1,0.19,2.2,2.0,4.7,2.6,12.0,26.0,4.9,3.4,0.2,1.6,0.26,2.1,0.271043997446957
17.6,2.2,2.2,5.6,22.4,48.4,0.0,0.51,14.0,29.0,0.14,0.03,2.0,35.0,0.14,0.07,0.1,0.19,2.2,2.0,4.7,2.6,12.0,26.0,4.9,3.4,0.2,1.6,0.26,2.1,0.271043997446957
17.6,3.4,2.2,11.6,18.8,28.0,0.0,0.51,14.0,27.0,0.07,0.03,2.0,9.0,0.175,0.02,0.1,0.35,1.6,3.5,4.6,4.5,12.0,8.0,4.1,3.3,2.4,2.5,0.48,1.1,0.273544394403769
6.8,9.4,5.8,21.2,4.4,31.6,0.0,0.5,14.0,35.0,0.14,0.08,2.0,35.0,0.175,0.09,0.1,0.27,0.3,2.1,1.2,3.2,16.0,28.0,2.1,1.2,1.4,0.9,0.18,1.0,0.266258023755553
11.6,9.4,3.4,17.6,24.8,14.8,0.0,0.51,14.0,17.0,0.14,0.04,2.0,20.0,0.105,0.07,0.1,0.27,3.3,1.6,4.1,4.7,9.0,13.0,3.1,4.3,2.6,3.8,0.51,3.4,0.275218547087103
11.6,9.4,3.4,17.6,24.8,14.8,0.0,0.51,14.0,17.0,0.14,0.04,2.0,20.0,0.105,0.07,0.1,0.27,3.3,1.6,4.1,4.7,9.0,13.0,3.1,4.3,2.6,3.8,0.51,3.4,0.275218547087103
11.6,9.4,3.4,17.6,24.8,14.8,0.0,0.51,14.0,17.0,0.14,0.04,2.0,20.0,0.105,0.07,0.1,0.27,3.3,1.6,4.1,4.7,9.0,13.0,3.1,4.3,2.6,3.8,0.51,3.4,0.275218547087103
11.6,8.2,3.4,15.2,18.8,16.0,0.0,0.51,14.0,23.0,0.175,0.05,2.0,12.0,0.105,0.05,0.1,0.42,1.9,1.5,3.5,4.8,12.0,20.0,0.6,3.9,3.3,0.1,0.43,2.3,0.277370884577941
