w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,k1
6.8,13.0,1.0,11.6,5.6,41.2,0.0,0.5,14.0,6.0,0.105,0.1,2.0,21.0,0.175,0.04,0.1,0.39,0.3,0.7,2.7,4.2,26.0,24.0,4.3,3.3,1.2,3.9,0.19,1.7,0.970186375350901
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,0.959836386667355
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,0.959836386667355
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,0.959836386667355
6.8,4.6,1.0,22.4,6.8,10.0,0.0,0.5,14.0,26.0,0.175,0.01,2.0,19.0,0.07,0.01,0.1,0.49,0.6,0.8,2.9,3.8,8.0,9.0,3.5,1.1,1.3,2.0,0.46,1.6,0.966693053876565
12.8,3.4,1.0,8.0,10.4,23.2,0.0,0.5,14.0,16.0,0.105,0.09,2.0,18.0,0.105,0.03,0.1,0.35,0.9,1.8,4.1,3.9,15.0,24.0,1.8,4.9,4.5,4.3,0.51,1.0,0.967140971615251
10.4,3.4,1.0,22.4,9.2,41.2,0.0,0.5,14.0,19.0,0.14,0.05,2.0,8.0,0.07,0.02,0.1,0.37,1.0,2.3,2.7,4.5,3.0,26.0,0.9,3.2,1.4,0.5,0.45,1.5,0.962785759815271
5.6,9.4,2.2,14.0,6.8,16.0,0.0,0.5,14.0,17.0,0.14,0.01,2.0,5.0,0.07,0.03,0.1,0.1,0.6,0.8,4.8,2.1,21.0,4.0,1.7,2.2,1.1,4.1,0.18,1.0,0.964929875037207
5.6,13.0,2.2,8.0,6.8,53.2,0.0,0.5,14.0,14.0,0.07,0.03,2.0,32.0,0.07,0.05,0.1,0.13,0.4,1.5,1.2,4.9,23.0,12.0,4.6,1.7,1.7,3.2,0.26,1.0,0.964607524918286
12.8,8.2,1.0,9.2,8.0,22.0,0.0,0.5,14.0,25.0,0.175,0.03,2.0,11.0,0.105,0.02,0.1,0.3,0.9,1.5,4.2,3.2,5.0,10.0,2.5,0.3,3.5,1.0,0.55,1.4,0.978874183697914
14.0,11.8,1.0,8.0,5.6,12.4,0.0,0.5,14.0,14.0,0.14,0.08,2.0,22.0,0.035,0.03,0.1,0.36,0.5,0.8,2.3,2.3,17.0,13.0,2.2,0.1,0.5,2.5,0.47,1.7,0.984984552876311
14.0,9.4,1.0,16.4,4.4,14.8,0.0,0.5,14.0,19.0,0.07,0.04,2.0,18.0,0.07,0.03,0.1,0.13,0.4,1.2,1.9,2.0,13.0,9.0,4.6,4.7,0.6,3.6,0.32,1.7,0.987556845898718
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,0.968308994686458
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,0.968308994686458
15.2,3.4,1.0,20.0,8.0,31.6,0.0,0.51,14.0,30.0,0.175,0.05,2.0,5.0,0.035,0.02,0.1,0.26,0.9,4.0,4.6,2.7,9.0,17.0,1.0,2.8,4.3,3.2,0.5,1.8,0.968308994686458
4.4,4.6,3.4,10.4,11.6,23.2,0.0,0.51,14.0,34.0,0.14,0.08,2.0,9.0,0.175,0.07,0.1,0.47,1.4,1.0,4.0,3.3,28.0,8.0,3.3,3.8,3.6,3.5,0.65,2.8,0.959783959372607
6.8,13.0,2.2,10.4,10.4,14.8,0.0,0.51,14.0,34.0,0.14,0.03,2.0,32.0,0.105,0.07,0.1,0.44,0.6,0.7,3.0,3.9,1.0,21.0,0.8,4.6,3.5,2.5,0.34,1.9,0.976107872824953
6.8,13.0,2.2,24.8,8.0,42.4,0.0,0.5,14.0,21.0,0.105,0.06,2.0,27.0,0.105,0.01,0.1,0.41,0.6,2.7,2.6,2.1,29.0,25.0,0.4,3.1,4.3,1.8,0.39,1.7,0.970553524662133
15.2,13.0,1.0,8.0,5.6,25.6,0.0,0.5,14.0,18.0,0.105,0.09,2.0,29.0,0.175,0.07,0.1,0.45,0.5,2.2,2.2,3.7,25.0,7.0,4.2,3.3,3.3,1.2,0.31,1.8,0.983929461472214
