w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_bottom_left
35.6,2.2,4.6,10.4,4.4,35.2,0.0,0.5,14.0,34.0,0.14,0.06,2.0,9.0,0.105,0.07,0.1,0.43,0.4,1.1,2.6,3.6,30.0,7.0,3.9,1.7,1.5,3.1,0.1,1.0,0.271242096132379
11.6,8.2,3.4,15.2,18.8,16.0,0.0,0.51,14.0,23.0,0.175,0.05,2.0,12.0,0.105,0.05,0.1,0.42,1.9,1.5,3.5,4.8,12.0,20.0,0.6,3.9,3.3,0.1,0.43,2.3,0.274056953557491
6.8,9.4,5.8,9.2,17.6,43.6,0.0,0.5,14.0,28.0,0.175,0.1,2.0,28.0,0.105,0.03,0.1,0.14,1.4,2.6,4.1,3.5,20.0,26.0,0.8,2.9,2.5,4.6,0.33,1.7,0.273577071353001
6.8,9.4,5.8,9.2,17.6,43.6,0.0,0.5,14.0,28.0,0.175,0.1,2.0,28.0,0.105,0.03,0.1,0.14,1.4,2.6,4.1,3.5,20.0,26.0,0.8,2.9,2.5,4.6,0.33,1.7,0.273577071353001
6.8,9.4,5.8,9.2,17.6,43.6,0.0,0.5,14.0,28.0,0.175,0.1,2.0,28.0,0.105,0.03,0.1,0.14,1.4,2.6,4.1,3.5,20.0,26.0,0.8,2.9,2.5,4.6,0.33,1.7,0.273577071353001
17.6,4.6,2.2,14.0,20.0,48.4,0.0,0.51,14.0,29.0,0.175,0.09,2.0,16.0,0.105,0.1,0.1,0.4,2.4,3.2,4.7,4.0,13.0,18.0,4.1,1.1,2.0,3.1,1.41,1.5,0.274667166733153
18.8,9.4,2.2,23.6,9.2,34.0,0.0,0.51,14.0,21.0,0.175,0.1,2.0,11.0,0.105,0.01,0.1,0.35,1.1,1.8,3.7,4.0,14.0,3.0,0.2,1.4,0.3,4.2,0.35,3.1,0.274025575582471
39.2,5.8,1.0,23.6,3.2,16.0,0.0,0.5,14.0,6.0,0.175,0.05,2.0,32.0,0.14,0.1,0.1,0.2,0.3,0.5,1.5,4.7,18.0,2.0,0.1,2.3,4.0,0.6,0.2,1.3,0.272435212543348
39.2,7.0,1.0,9.2,11.6,16.0,0.0,0.5,14.0,21.0,0.14,0.06,2.0,12.0,0.105,0.07,0.1,0.19,1.1,0.7,2.9,3.0,26.0,23.0,1.7,4.7,2.8,0.3,0.22,2.1,0.268904537342141
18.8,4.6,2.2,16.4,16.4,35.2,0.0,0.51,14.0,34.0,0.105,0.08,2.0,28.0,0.175,0.1,0.1,0.39,1.5,1.9,4.0,3.9,5.0,22.0,1.0,0.7,0.7,1.7,0.42,2.4,0.271675797414935
17.6,11.8,2.2,21.2,15.2,47.2,0.0,0.51,14.0,35.0,0.07,0.01,2.0,28.0,0.14,0.02,0.1,0.2,1.5,4.7,3.9,5.0,6.0,30.0,1.0,3.0,1.5,4.1,0.64,3.2,0.269365572267226
11.6,8.2,3.4,12.8,6.8,30.4,0.0,0.5,14.0,32.0,0.105,0.01,2.0,23.0,0.105,0.08,0.1,0.34,0.9,0.4,5.0,4.9,21.0,4.0,4.2,2.1,3.5,4.6,0.26,1.1,0.272252987306023
17.6,4.6,2.2,4.4,11.6,48.4,0.0,0.5,14.0,26.0,0.07,0.03,2.0,14.0,0.175,0.03,0.1,0.34,1.1,3.2,2.3,4.3,19.0,24.0,2.0,0.2,3.7,2.5,1.07,2.2,0.268718289616299
38.0,1.0,1.0,26.0,8.0,43.6,0.0,0.51,14.0,32.0,0.14,0.04,2.0,9.0,0.14,0.06,0.1,0.49,0.7,2.5,1.7,4.7,26.0,24.0,2.3,4.6,3.4,3.9,0.26,1.2,0.26950501715208
