w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Coreloss_W
14.0,9.4,1.0,16.4,4.4,14.8,0.0,0.5,14.0,19.0,0.07,0.04,2.0,18.0,0.07,0.03,0.1,0.13,0.4,1.2,1.9,2.0,13.0,9.0,4.6,4.7,0.6,3.6,0.32,1.7,10.3449
15.2,13.0,1.0,8.0,5.6,25.6,0.0,0.5,14.0,18.0,0.105,0.09,2.0,29.0,0.175,0.07,0.1,0.45,0.5,2.2,2.2,3.7,25.0,7.0,4.2,3.3,3.3,1.2,0.31,1.8,12.8739
15.2,8.2,1.0,18.8,4.4,48.4,0.0,0.5,14.0,23.0,0.105,0.1,2.0,11.0,0.035,0.03,0.1,0.2,0.5,0.8,3.1,2.1,20.0,9.0,1.0,4.3,1.4,4.1,0.25,1.1,10.3603
16.4,2.2,1.0,11.6,5.6,13.6,0.0,0.51,14.0,12.0,0.175,0.02,2.0,6.0,0.105,0.09,0.1,0.34,0.6,0.7,2.9,4.6,21.0,20.0,1.5,2.1,4.4,1.3,0.31,1.2,12.1115
18.8,5.8,1.0,11.6,8.0,26.8,0.0,0.51,14.0,34.0,0.175,0.07,2.0,7.0,0.14,0.06,0.1,0.48,0.4,3.3,4.0,2.7,14.0,19.0,3.2,2.1,4.4,2.3,0.18,1.9,12.2691
18.8,2.2,1.0,17.6,4.4,35.2,0.0,0.51,14.0,29.0,0.14,0.08,2.0,30.0,0.175,0.06,0.1,0.49,0.3,3.7,2.8,2.3,8.0,13.0,2.3,3.3,3.5,0.9,0.19,1.2,12.5045
8.0,8.2,2.2,22.4,5.6,13.6,0.0,0.51,14.0,15.0,0.175,0.09,2.0,17.0,0.14,0.08,0.1,0.29,0.7,1.4,3.0,3.6,10.0,8.0,3.6,4.2,0.6,3.1,0.34,2.2,11.986
35.6,2.2,4.6,10.4,4.4,35.2,0.0,0.5,14.0,34.0,0.14,0.06,2.0,9.0,0.105,0.07,0.1,0.43,0.4,1.1,2.6,3.6,30.0,7.0,3.9,1.7,1.5,3.1,0.1,1.0,2.85986
18.8,13.0,1.0,9.2,3.2,50.8,0.0,0.51,14.0,26.0,0.07,0.04,2.0,17.0,0.105,0.08,0.1,0.17,0.3,1.7,1.2,4.3,21.0,10.0,3.8,1.6,1.6,3.7,0.25,1.0,6.62681
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,8.63585
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,8.63585
