w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,k2
50.0,1.0,5.8,3.2,15.2,28.0,0.0,0.51,14.0,31.0,0.14,0.07,2.0,17.0,0.07,0.07,0.1,0.38,1.6,1.5,4.8,4.9,6.0,17.0,4.0,3.7,0.5,0.8,0.48,1.4,0.970708432286199
14.0,5.8,4.6,15.2,18.8,22.0,0.0,0.51,14.0,22.0,0.175,0.03,2.0,35.0,0.175,0.03,0.1,0.17,2.2,2.4,4.0,4.8,19.0,1.0,1.1,3.6,0.9,4.4,1.76,2.9,0.981492833649909
15.2,5.8,3.4,6.8,14.0,10.0,0.0,0.5,14.0,30.0,0.175,0.04,2.0,12.0,0.035,0.01,0.1,0.22,1.0,3.6,3.3,5.0,21.0,25.0,2.8,2.5,3.1,0.1,0.74,1.4,0.974512461612984
30.8,1.0,9.4,4.4,17.6,8.8,0.0,0.51,14.0,31.0,0.07,0.07,2.0,9.0,0.175,0.06,0.1,0.37,1.4,1.3,4.8,3.2,8.0,22.0,1.7,0.1,4.4,1.1,0.74,2.1,0.977410358641911
51.2,2.2,8.2,12.8,12.8,52.0,0.0,0.51,14.0,30.0,0.105,0.09,2.0,16.0,0.07,0.07,0.1,0.37,1.3,3.6,4.8,4.2,21.0,4.0,2.4,3.9,0.4,3.7,1.03,1.7,0.985181217536685
18.8,8.2,3.4,24.8,5.6,16.0,0.0,0.51,14.0,33.0,0.14,0.04,2.0,27.0,0.07,0.06,0.1,0.33,0.7,0.3,1.9,2.2,27.0,29.0,3.7,1.9,0.8,2.5,0.18,1.0,0.986362838383923
45.2,10.6,3.4,11.6,21.2,13.6,0.0,0.51,14.0,25.0,0.14,0.04,2.0,14.0,0.14,0.01,0.1,0.2,1.5,1.5,4.7,4.3,23.0,15.0,0.8,2.9,1.8,3.0,1.15,1.9,0.993438035546919
51.2,11.8,5.8,6.8,3.2,18.4,0.0,0.51,14.0,9.0,0.105,0.02,2.0,11.0,0.07,0.05,0.1,0.11,0.2,0.5,1.8,3.3,29.0,21.0,4.9,4.1,2.6,1.4,0.11,1.2,0.989752958447091
38.0,11.8,13.0,20.0,26.0,12.4,0.0,0.5,14.0,9.0,0.175,0.08,2.0,12.0,0.07,0.04,0.1,0.46,3.2,1.0,5.0,4.8,12.0,14.0,1.9,1.1,3.6,2.3,0.85,3.1,0.991982383280873
12.8,7.0,3.4,11.6,8.0,17.2,0.0,0.51,14.0,32.0,0.14,0.09,2.0,25.0,0.035,0.02,0.1,0.5,1.0,0.7,1.9,2.7,19.0,11.0,2.7,1.1,4.7,2.2,0.69,1.7,0.981909655764834
47.6,4.6,9.4,16.4,11.6,35.2,0.0,0.5,14.0,35.0,0.105,0.08,2.0,13.0,0.175,0.03,0.1,0.27,1.2,3.3,3.8,2.2,25.0,26.0,1.3,3.2,2.8,1.9,0.86,1.9,0.990864245915394
16.4,11.8,2.2,14.0,5.6,22.0,0.0,0.51,14.0,28.0,0.035,0.03,2.0,33.0,0.105,0.01,0.1,0.17,0.5,2.6,3.5,2.2,28.0,2.0,3.1,3.8,4.1,2.7,0.28,1.0,0.983048507681873
42.8,2.2,10.6,9.2,6.8,53.2,0.0,0.5,14.0,31.0,0.14,0.02,2.0,27.0,0.14,0.04,0.1,0.46,0.3,1.7,3.3,3.8,11.0,11.0,2.8,1.6,2.5,3.9,0.19,3.0,0.981442429762239
40.4,1.0,13.0,3.2,20.0,5.2,0.0,0.51,14.0,28.0,0.07,0.06,2.0,32.0,0.07,0.02,0.1,0.26,1.8,2.4,4.2,4.1,30.0,27.0,3.1,4.4,3.5,3.0,0.73,3.6,0.97594791421959
50.0,11.8,3.4,11.6,21.2,36.4,0.0,0.5,14.0,18.0,0.105,0.04,2.0,26.0,0.105,0.02,0.1,0.34,1.0,1.1,3.7,4.6,18.0,21.0,3.5,1.4,1.6,2.9,0.49,2.8,0.995238700289252
45.2,3.4,2.2,21.2,4.4,28.0,0.0,0.51,14.0,34.0,0.14,0.1,2.0,13.0,0.105,0.02,0.1,0.36,0.3,1.9,2.0,4.4,0.0,30.0,3.2,3.7,1.1,0.5,0.21,1.9,0.988823971136816
41.6,2.2,10.6,22.4,5.6,24.4,0.0,0.5,14.0,21.0,0.035,0.01,2.0,23.0,0.07,0.01,0.1,0.48,0.7,1.3,2.8,5.0,11.0,3.0,0.4,3.8,3.9,1.7,0.38,1.4,0.986778586906585
41.6,2.2,4.6,8.0,17.6,10.0,0.0,0.5,14.0,31.0,0.175,0.05,2.0,31.0,0.07,0.01,0.1,0.13,2.0,1.9,4.4,3.4,9.0,5.0,2.1,3.8,0.8,2.5,0.51,3.3,0.985425747423576
21.2,3.4,11.8,22.4,23.6,8.8,0.0,0.51,14.0,32.0,0.14,0.01,2.0,31.0,0.175,0.04,0.1,0.2,3.1,3.5,5.0,4.0,18.0,28.0,0.7,0.3,4.2,1.5,0.96,3.1,0.974979944576646
27.2,7.0,10.6,14.0,24.8,42.4,0.0,0.51,14.0,29.0,0.175,0.05,2.0,14.0,0.14,0.03,0.1,0.22,1.7,3.3,4.8,3.9,12.0,28.0,3.4,3.2,2.1,1.1,0.98,3.2,0.989816163994946
8.0,11.8,10.6,15.2,10.4,11.2,0.0,0.51,14.0,26.0,0.14,0.05,2.0,14.0,0.105,0.08,0.1,0.12,1.1,1.7,3.1,2.8,3.0,13.0,0.3,0.3,3.7,4.1,0.83,2.3,0.982871214940895
38.0,9.4,11.8,17.6,12.8,44.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,10.0,0.105,0.05,0.1,0.19,1.0,0.8,4.6,4.7,27.0,23.0,1.0,1.2,3.6,0.8,0.43,2.5,0.99483647968742
10.4,2.2,9.4,14.0,10.4,32.8,0.0,0.5,14.0,16.0,0.105,0.09,2.0,6.0,0.105,0.09,0.1,0.27,1.1,1.4,3.7,3.6,15.0,7.0,4.2,4.5,3.0,3.7,0.94,1.0,0.963199873236799
40.4,2.2,10.6,24.8,18.8,29.2,0.0,0.5,14.0,22.0,0.14,0.08,2.0,28.0,0.07,0.01,0.1,0.36,1.4,2.8,3.3,4.2,7.0,20.0,1.9,1.2,4.2,2.1,0.54,2.6,0.986098315713354
52.4,2.2,9.4,5.6,16.4,50.8,0.0,0.5,14.0,29.0,0.175,0.1,2.0,5.0,0.14,0.01,0.1,0.45,2.0,3.0,3.7,1.8,0.0,21.0,0.6,1.2,4.2,3.8,1.31,1.3,0.973967458624914
20.0,9.4,7.0,17.6,17.6,30.4,0.0,0.5,14.0,35.0,0.14,0.02,2.0,21.0,0.07,0.04,0.1,0.17,1.8,1.4,3.6,3.5,19.0,7.0,3.4,3.8,2.8,0.2,1.32,2.2,0.989372698938212
9.2,8.2,2.2,11.6,23.6,19.6,0.0,0.51,14.0,13.0,0.14,0.03,2.0,31.0,0.14,0.08,0.1,0.49,0.9,1.6,4.1,4.6,11.0,17.0,2.7,3.9,3.8,1.4,0.87,3.2,0.981185083482212
14.0,2.2,10.6,9.2,15.2,14.8,0.0,0.5,14.0,26.0,0.14,0.05,2.0,30.0,0.14,0.09,0.1,0.27,2.0,2.3,3.3,4.2,29.0,13.0,4.9,3.8,1.5,1.4,0.57,2.9,0.96814469921261
27.2,2.2,10.6,21.2,21.2,11.2,0.0,0.5,14.0,25.0,0.14,0.06,2.0,9.0,0.175,0.09,0.1,0.24,1.0,2.1,4.0,3.4,19.0,19.0,4.1,3.5,0.6,3.9,0.66,3.3,0.988915911723852
48.8,4.6,2.2,4.4,9.2,10.0,0.0,0.51,14.0,28.0,0.105,0.02,2.0,21.0,0.14,0.03,0.1,0.13,1.2,1.0,2.0,4.1,27.0,12.0,2.4,0.1,0.6,2.4,0.14,1.7,0.985353441413827
20.0,4.6,4.6,16.4,11.6,6.4,0.0,0.5,14.0,15.0,0.175,0.09,2.0,17.0,0.14,0.03,0.1,0.26,1.3,0.8,5.0,1.9,7.0,30.0,0.2,3.0,2.9,2.9,0.54,1.4,0.986405472830198
30.8,5.8,4.6,14.0,18.8,52.0,0.0,0.5,14.0,21.0,0.175,0.06,2.0,17.0,0.105,0.01,0.1,0.15,1.4,2.1,4.3,3.4,19.0,25.0,1.2,2.1,1.3,1.9,0.5,1.5,0.987566815749786
35.6,2.2,5.8,12.8,22.4,42.4,0.0,0.5,14.0,17.0,0.105,0.08,2.0,11.0,0.07,0.03,0.1,0.18,2.0,2.1,3.9,4.1,22.0,7.0,2.7,4.8,3.6,0.9,1.65,3.8,0.986770087746996
32.0,5.8,10.6,24.8,22.4,38.8,0.0,0.5,14.0,35.0,0.14,0.08,2.0,27.0,0.035,0.01,0.1,0.12,2.1,3.9,3.7,4.7,12.0,4.0,0.2,5.0,2.3,3.3,1.96,3.6,0.989877986007467
34.4,8.2,2.2,10.4,14.0,29.2,0.0,0.5,14.0,30.0,0.14,0.04,2.0,34.0,0.105,0.1,0.1,0.41,1.4,2.4,4.9,4.0,25.0,7.0,1.8,1.1,4.0,0.5,1.35,1.0,0.986780527995276
26.0,3.4,5.8,2.0,6.8,12.4,0.0,0.51,14.0,29.0,0.175,0.06,2.0,16.0,0.175,0.04,0.1,0.45,0.9,1.6,1.8,2.5,19.0,1.0,2.2,2.4,0.9,4.6,0.27,1.7,0.967750504259168
42.8,1.0,1.0,4.4,11.6,12.4,0.0,0.5,14.0,28.0,0.105,0.05,2.0,24.0,0.14,0.08,0.1,0.48,0.9,3.6,3.1,2.7,10.0,19.0,2.6,5.0,1.2,2.9,0.2,1.1,0.969545635258965
9.2,7.0,11.8,14.0,14.0,8.8,0.0,0.5,14.0,25.0,0.175,0.06,2.0,10.0,0.14,0.06,0.1,0.22,1.7,1.7,3.4,4.1,28.0,9.0,5.0,4.8,2.0,1.5,0.72,2.0,0.97698216367543
20.0,3.4,8.2,5.6,21.2,5.2,0.0,0.5,14.0,30.0,0.14,0.09,2.0,20.0,0.035,0.02,0.1,0.3,1.8,3.4,4.7,3.6,5.0,4.0,0.1,4.7,4.6,0.7,1.6,3.5,0.977522304072073
23.6,11.8,9.4,20.0,8.0,40.0,0.0,0.51,14.0,32.0,0.105,0.06,2.0,8.0,0.035,0.02,0.1,0.04,1.0,4.0,2.8,2.8,16.0,7.0,4.7,2.0,3.6,3.1,0.25,2.1,0.989555018108887
50.0,2.2,9.4,21.2,5.6,8.8,0.0,0.51,14.0,10.0,0.14,0.06,2.0,11.0,0.105,0.01,0.1,0.19,0.6,0.7,2.6,4.0,12.0,2.0,1.8,1.0,1.2,3.5,0.4,1.8,0.991505140182503
21.2,3.4,8.2,16.4,5.6,43.6,0.0,0.5,14.0,21.0,0.14,0.01,2.0,31.0,0.07,0.07,0.1,0.35,0.6,1.0,3.2,3.4,28.0,17.0,3.8,1.2,1.2,4.8,0.34,1.4,0.983961153153333
22.4,9.4,13.0,16.4,18.8,11.2,0.0,0.51,14.0,18.0,0.035,0.02,2.0,23.0,0.14,0.08,0.1,0.35,1.1,1.1,4.3,3.4,15.0,2.0,1.4,0.5,1.7,2.6,0.5,1.7,0.99209376996916
41.6,11.8,11.8,5.6,11.6,4.0,0.0,0.51,14.0,25.0,0.175,0.04,2.0,14.0,0.175,0.05,0.1,0.3,1.3,1.0,2.8,2.2,12.0,7.0,2.4,3.8,1.5,0.8,0.64,1.0,0.984428213453369
11.6,13.0,8.2,10.4,15.2,35.2,0.0,0.5,14.0,24.0,0.175,0.07,2.0,23.0,0.105,0.1,0.1,0.46,1.4,1.8,2.5,2.9,10.0,18.0,2.0,3.8,0.7,2.3,0.26,2.1,0.980141496191926
29.6,2.2,8.2,16.4,12.8,43.6,0.0,0.51,14.0,12.0,0.07,0.05,2.0,23.0,0.14,0.08,0.1,0.35,1.4,0.2,4.5,4.9,22.0,3.0,0.3,2.5,1.6,4.0,0.18,1.7,0.974877673347418
35.6,5.8,10.6,20.0,6.8,44.8,0.0,0.5,14.0,15.0,0.175,0.02,2.0,32.0,0.14,0.05,0.1,0.21,0.7,1.2,3.8,4.6,20.0,26.0,3.8,1.1,2.8,4.5,0.21,1.5,0.991841856799664
26.0,11.8,8.2,24.8,16.4,31.6,0.0,0.5,14.0,32.0,0.14,0.06,2.0,8.0,0.14,0.09,0.1,0.33,2.1,4.1,4.5,3.8,22.0,4.0,1.9,2.4,1.3,1.7,0.53,2.2,0.988603002185306
22.4,11.8,5.8,24.8,20.0,41.2,0.0,0.51,14.0,31.0,0.14,0.01,2.0,27.0,0.07,0.04,0.1,0.23,2.0,1.2,4.0,3.5,11.0,14.0,1.1,2.6,2.5,3.4,1.06,2.2,0.990863716978253
28.4,4.6,7.0,26.0,17.6,10.0,0.0,0.51,14.0,20.0,0.175,0.09,2.0,34.0,0.07,0.02,0.1,0.18,1.5,2.0,4.7,3.2,24.0,24.0,4.2,2.5,2.7,5.0,1.17,2.5,0.990369777484897
36.8,4.6,10.6,11.6,21.2,18.4,0.0,0.5,14.0,17.0,0.175,0.09,2.0,18.0,0.14,0.01,0.1,0.2,1.2,1.8,4.8,3.9,9.0,27.0,2.8,0.5,1.4,0.9,0.59,3.4,0.99361137076308
45.2,13.0,2.2,11.6,16.4,32.8,0.0,0.5,14.0,29.0,0.07,0.06,2.0,25.0,0.07,0.03,0.1,0.32,1.7,1.8,2.8,3.9,29.0,10.0,3.9,3.3,1.6,1.8,1.29,2.4,0.991544477783119
10.4,9.4,11.8,15.2,16.4,40.0,0.0,0.51,14.0,24.0,0.175,0.01,2.0,30.0,0.14,0.04,0.1,0.37,1.0,0.6,4.3,3.6,11.0,6.0,1.0,1.2,1.0,2.2,0.58,2.9,0.985555940164712
46.4,13.0,5.8,17.6,15.2,8.8,0.0,0.5,14.0,31.0,0.175,0.04,2.0,30.0,0.105,0.08,0.1,0.31,1.6,0.3,3.6,4.1,27.0,4.0,0.3,0.8,4.5,4.0,0.27,1.4,0.991870298543376
9.2,5.8,3.4,18.8,8.0,46.0,0.0,0.5,14.0,25.0,0.105,0.09,2.0,5.0,0.105,0.09,0.1,0.16,1.0,1.5,2.8,2.3,19.0,29.0,1.5,3.7,1.5,2.6,0.13,2.2,0.9772656219226
38.0,5.8,11.8,20.0,4.4,53.2,0.0,0.51,14.0,34.0,0.105,0.01,2.0,13.0,0.035,0.03,0.1,0.09,0.4,0.4,1.7,3.8,24.0,17.0,1.4,2.5,1.6,0.9,0.3,1.2,0.991346682142729
28.4,3.4,13.0,20.0,4.4,37.6,0.0,0.5,14.0,22.0,0.105,0.03,2.0,27.0,0.07,0.07,0.1,0.37,0.5,2.9,2.5,4.6,11.0,6.0,4.1,4.7,4.1,1.1,0.17,1.7,0.984832823800434
28.4,10.6,8.2,11.6,16.4,20.8,0.0,0.5,14.0,19.0,0.07,0.03,2.0,7.0,0.175,0.06,0.1,0.36,1.8,1.7,3.2,2.7,22.0,11.0,2.8,1.9,1.2,5.0,0.89,2.6,0.99041959847744
46.4,3.4,9.4,15.2,5.6,8.8,0.0,0.5,14.0,14.0,0.105,0.1,2.0,20.0,0.035,0.01,0.1,0.18,0.6,1.4,3.1,1.4,21.0,26.0,4.7,3.5,1.0,3.2,0.22,1.3,0.990485642022029
10.4,9.4,8.2,17.6,15.2,43.6,0.0,0.5,14.0,34.0,0.175,0.06,2.0,34.0,0.105,0.06,0.1,0.44,1.5,1.4,4.6,4.9,25.0,1.0,3.7,4.8,0.6,3.3,1.18,1.7,0.981709189797486
48.8,5.8,4.6,3.2,3.2,18.4,0.0,0.5,14.0,33.0,0.105,0.09,2.0,33.0,0.105,0.04,0.1,0.3,0.3,2.6,1.1,1.4,6.0,9.0,4.8,4.9,1.9,0.5,0.24,1.0,0.984311716887771
40.4,9.4,9.4,8.0,6.8,19.6,0.0,0.5,14.0,25.0,0.105,0.1,2.0,28.0,0.07,0.05,0.1,0.42,0.4,2.6,4.1,4.2,11.0,26.0,4.9,0.9,1.6,4.2,0.11,1.3,0.985395599016017
18.8,8.2,5.8,17.6,20.0,16.0,0.0,0.5,14.0,14.0,0.14,0.1,2.0,9.0,0.175,0.1,0.1,0.37,1.7,1.6,4.7,4.3,6.0,6.0,2.3,4.5,0.4,1.2,1.34,2.8,0.990385990871293
24.8,13.0,4.6,24.8,8.0,48.4,0.0,0.51,14.0,29.0,0.14,0.09,2.0,30.0,0.14,0.01,0.1,0.48,0.9,2.2,3.4,3.6,11.0,24.0,4.4,0.3,1.9,2.4,0.63,1.0,0.989551408058908
24.8,10.6,13.0,10.4,15.2,4.0,0.0,0.5,14.0,28.0,0.07,0.04,2.0,31.0,0.105,0.01,0.1,0.29,1.9,2.1,3.9,3.4,22.0,23.0,3.1,0.1,0.3,2.5,0.71,1.4,0.982678205873668
8.0,7.0,13.0,12.8,12.8,47.2,0.0,0.51,14.0,33.0,0.175,0.05,2.0,13.0,0.14,0.02,0.1,0.46,1.1,0.9,4.5,3.9,16.0,30.0,2.7,4.3,4.3,2.4,0.43,2.5,0.978172682392421
17.6,5.8,2.2,23.6,8.0,13.6,0.0,0.51,14.0,30.0,0.14,0.02,2.0,13.0,0.175,0.09,0.1,0.24,0.9,3.5,1.4,3.1,29.0,22.0,4.6,0.2,2.9,1.3,0.22,1.1,0.978041848516814
52.4,3.4,11.8,12.8,15.2,16.0,0.0,0.51,14.0,20.0,0.14,0.04,2.0,20.0,0.105,0.1,0.1,0.29,1.4,1.5,4.4,3.6,19.0,26.0,3.1,2.8,2.2,5.0,0.98,1.1,0.989125947611805
11.6,7.0,5.8,14.0,21.2,23.2,0.0,0.5,14.0,35.0,0.175,0.07,2.0,23.0,0.07,0.01,0.1,0.3,1.3,2.8,5.0,4.8,2.0,10.0,4.1,3.4,4.9,4.4,0.9,2.0,0.979086088801753
22.4,2.2,10.6,5.6,17.6,6.4,0.0,0.5,14.0,8.0,0.035,0.03,2.0,23.0,0.105,0.03,0.1,0.42,1.9,1.0,4.5,3.7,1.0,15.0,1.1,3.4,0.2,3.4,0.34,3.6,0.97993090029575
42.8,3.4,9.4,21.2,11.6,10.0,0.0,0.51,14.0,19.0,0.105,0.06,2.0,33.0,0.035,0.02,0.1,0.1,0.8,1.5,4.4,4.5,6.0,3.0,0.8,4.0,4.9,2.9,0.49,2.5,0.993163056390145
47.6,8.2,3.4,8.0,11.6,30.4,0.0,0.51,14.0,21.0,0.07,0.03,2.0,30.0,0.14,0.1,0.1,0.46,0.8,0.7,4.4,4.1,14.0,9.0,2.1,0.4,0.6,3.7,0.27,2.0,0.992092366597096
32.0,1.0,11.8,8.0,8.0,44.8,0.0,0.5,14.0,27.0,0.14,0.02,2.0,13.0,0.175,0.04,0.1,0.25,0.6,1.5,4.0,4.9,14.0,1.0,3.7,2.0,2.9,1.2,0.44,1.3,0.974342943033053
