uuid,computer_name,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,seed,A,B,C,D,E,Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Copperloss_Tx,Copperloss_Rx_1,Copperloss_Rx_2,Coreloss_W,B_mean_leg_left,B_mean_leg_center,B_mean_leg_right,B_mean_leg_top_left,B_mean_leg_bottom_left,B_mean_leg_top_right,B_mean_leg_bottom_right
6f06d2a2-6ed5-4c32-86a3-15ab68ea1040,DESKTOP-RMS1URL,10.4,10.6,4.6,18.8,22.4,34.0,0.0,0.51,14.0,19.0,0.14,0.01,2.0,14.0,0.175,0.06,0.1,0.44,2.2,1.8,4.5,3.7,29.0,17.0,1.5,3.7,0.5,1.1,1.65,3.0,3249366944,84.8,63.599999999999994,18.8,21.6,17.0,250.714476528533,10.1821558647283,10.1864623893365,49.6325850098264,49.6333994607427,0.982329800089025,0.982138244878828,241.932408763355,9.82549364068051,9.82581610818669,8.78206776517755,0.35666222404779,0.360646281149809,18.8827623170675,2.63119591036028,0.908127403869785,9.10694,0.0693120559359778,0.105799961072717,0.104519489154694,0.226288036138202,0.225503652442523,0.220188317558949,0.220059554902914
54d1a301-d86f-4aa2-91ed-c0634f8c11ad,DESKTOP-RMS1URL,26.0,4.6,3.4,21.2,14.0,43.6,0.0,0.51,14.0,15.0,0.07,0.03,2.0,33.0,0.07,0.01,0.1,0.24,1.2,1.5,4.6,3.8,14.0,16.0,2.5,0.1,3.4,4.1,0.4,2.9,4242529892,58.400000000000006,49.2,21.2,25.2,21.8,435.329285052753,17.5830371309104,17.5852097975947,86.6565716386202,86.6571893693264,0.990479781554681,0.990425652572802,427.079881151937,17.2498420528941,17.2500879845042,8.24940390081562,0.33319507801626796,0.335121813090502,15.5188110135212,1.56472137434053,0.395007570308836,2.72299,0.0623108254776999,0.0386647994048367,0.0835616759829365,0.124132950947477,0.120551547420997,0.119516348694895,0.122397340731326
68e1736f-ee54-4cb1-bf86-0618cfa951f3,DESKTOP-RMS1URL,20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,1562896966,84.8,68.4,21.2,15.600000000000001,13.4,397.443634999255,16.1398512320657,16.1430046348898,78.7938829455862,78.7937448133863,0.983795804595699,0.983697987197166,384.667485491323,15.6210225624934,15.6209677926498,12.7761495079323,0.518828669572338,0.522036842239964,5.23137289495183,2.19751880880769,0.327246896744104,7.77997,0.049073664703649,0.0483189044146291,0.064468601159269,0.238368182319357,0.238431115612551,0.234995472086164,0.235081139959438
7de10489-bd5d-49e7-af20-70b8a175b5c8,DESKTOP-RMS1URL,52.4,1.0,13.0,23.6,9.2,18.4,0.0,0.51,14.0,33.0,0.035,0.03,2.0,20.0,0.07,0.05,0.1,0.32,0.7,4.4,4.4,4.8,24.0,23.0,1.3,0.6,1.4,4.7,0.61,1.9,1370357392,44.0,42.0,23.6,22.2,9.2,403.235613786703,16.2454240683899,16.2481924352361,79.21131126378,79.2098601898708,0.978683429913024,0.97858212532765,386.227642055595,15.5602124852156,15.5596423946266,17.0079717311082,0.685211583174283,0.688550040609455,26.4768063875256,10.1109092389802,1.83819412268718,1.64224,0.107942015985785,0.0174159364641745,0.161353049643898,0.0156901656260969,0.0156231520131091,0.0158016869433298,0.0157875042826049
3dadad34-cfa2-44c2-aca8-85ee3512c17a,DESKTOP-RMS1URL,36.8,2.2,5.8,24.8,8.0,4.0,0.0,0.51,14.0,21.0,0.175,0.1,2.0,19.0,0.105,0.05,0.1,0.23,0.7,1.6,3.5,4.9,21.0,6.0,4.0,2.0,4.6,3.2,0.14,1.0,621849612,45.2,40.8,24.8,7.8,2.0,790.829364883282,31.8572483510095,31.8584551350617,157.387398084912,157.387601784812,0.991572403959827,0.991554906948286,777.555952196783,31.3225509520559,31.322632031033,13.2734126864995,0.534697398953648,0.535823104028715,5.81376072218715,1.68657846544745,0.36983973379199,0.000116163,0.0542636880291983,0.0139766449647294,0.0737896079557918,0.0298222919349118,0.0298986487004003,0.0291066419395987,0.0291433703376021
68fd2165-6bd7-4665-94e1-b1c03288a403,DESKTOP-RMS1URL,45.2,7.0,13.0,14.0,18.8,6.4,0.0,0.5,14.0,29.0,0.07,0.05,2.0,34.0,0.035,0.03,0.1,0.23,2.0,1.7,4.9,1.3,18.0,27.0,0.4,3.0,0.9,2.1,0.61,1.1,3084609236,65.6,51.6,14.0,16.2,3.2,905.897634125188,36.6805004275349,36.6869749517813,180.044750730069,180.044805305876,0.987695954908065,0.987609096045935,883.742366860375,35.783416408584,35.7834381021809,22.1552672648132,0.8970840189508941,0.903536849600389,11.4978637934437,23.1051115516536,0.434615293595276,0.00018827900000000002,0.0271875557638397,0.0326207978058238,0.0329935230971062,0.0181196952661902,0.018128485377234,0.0182547307242464,0.0182847962112485
e7f5104a-6a60-4804-9c03-5fd0607b37fa,DESKTOP-RMS1URL,20.0,13.0,13.0,5.6,9.2,50.8,0.0,0.51,14.0,35.0,0.105,0.01,2.0,35.0,0.175,0.04,0.1,0.21,1.0,3.1,2.6,4.4,17.0,20.0,2.3,1.2,0.2,2.7,0.94,1.8,579675112,50.0,24.0,5.6,38.4,25.4,235.642404380129,9.48768900766462,9.48980384580728,46.4504149159014,46.4505052990535,0.982387108135804,0.982279549037403,227.41481556956,9.15642094017499,9.15645657331166,8.22758881056859,0.331268067489633,0.33334727249561796,33.6773707992759,4.06029649640528,1.49811351073215,5.73798,0.0330891180954925,0.177640452599585,0.0403178253722982,0.0419701341922471,0.0402859272201036,0.0438876455461333,0.0419681801199547
c70a3c7c-a17c-4d55-bfe6-1b0a7be69771,DESKTOP-RMS1URL,35.6,3.4,4.6,20.0,4.4,23.2,0.0,0.5,14.0,34.0,0.07,0.07,2.0,23.0,0.175,0.01,0.1,0.27,0.4,1.2,1.5,3.1,6.0,16.0,4.2,2.7,0.8,2.0,0.18,1.0,4095226308,35.6,28.8,20.0,16.2,11.6,531.686106836127,21.5254350520524,21.5319748574441,105.880138202017,105.881129248187,0.989716645589654,0.989575595602202,520.8072979045,21.0850039554136,21.0853986717517,10.878808931627,0.440431096638753,0.44657618569245,6.20706205649814,,,1.12585,0.0627363328247996,0.032078533707017,0.0983896634698223,0.0768622633928163,0.0780553662055619,0.0664518717787447,0.0655070184250928
e76111e9-4237-479b-8b65-d75dd4f6a6d9,DESKTOP-RMS1URL,18.8,2.2,8.2,22.4,21.2,28.0,0.0,0.51,14.0,14.0,0.175,0.08,2.0,14.0,0.175,0.04,0.1,0.41,2.6,0.4,3.9,4.8,1.0,6.0,4.1,0.3,1.7,5.0,0.21,2.8,3885782144,69.19999999999999,64.8,22.4,22.2,14.0,242.193695345333,9.84230638692445,9.84566030991289,47.2519366485132,47.2502949964824,0.96780922195367,0.967610747448389,226.85186065751,9.21884243869988,9.21820187792775,15.3418346878231,0.623463948224573,0.6274584319851411,8.79633161070197,2.64331126068758,0.787445729396326,4.49737,0.152435379315233,0.051235503507524,0.211737089861848,0.0642974616424606,0.0643122577177494,0.0676749415262802,0.0674239632125202
58706242-4c6e-4197-8403-950443c142d4,DESKTOP-RMS1URL,11.6,2.2,11.8,21.2,9.2,31.6,0.0,0.5,14.0,21.0,0.07,0.05,2.0,18.0,0.07,0.06,0.1,0.31,1.1,1.2,4.4,4.7,29.0,18.0,4.5,2.9,4.6,4.4,0.92,2.0,1375164560,44.0,39.599999999999994,21.2,27.6,15.8,149.124518371821,6.16433341306804,6.16862310502235,29.5470495737627,29.5470551311725,0.974532963154724,0.974194239862853,141.625716847765,5.85435680226385,5.85435900451845,7.49880152405604,0.30997661080419,0.31426410050390097,4.57146050148198,4.98963308329621,0.246462217621711,10.0048,0.251236495079857,0.0860046949807716,0.336362493956332,0.0727717141828527,0.0721547511873753,0.0743227586424714,0.0740159974237954
