N1,N2,N1_layer,N2_layer,per,w1,l1,l2,l2_gap,h1,h1_gap,h2_gap,N1_height_ratio,N1_fill_factor,N1_coil_diameter,N1_coil_zgap,N2_height_ratio,N2_fill_factor,N2_coil_diameter,N2_coil_zgap,N1_space_w,N1_space_l,N2_space_w,N2_space_l,N1_layer_gap,N2_layer_gap,N1_offset_ratio,N2_offset_ratio,N1_offset,N2_offset,cold_plate_x,cold_plate_y,cold_plate_z1,cold_plate_z2,mold_thick,thermal_conductivity,Temp_max_leg_right
10,10,2,2,27179,227.1,22.3,150.59157000000002,48.0,122.9,10.06551,22.42925,0.79,0.81,13.107285000000005,3.6894579999999992,0.5,0.78,7.988500000000001,2.7038,13.7,4.0,21.3,24.0,3.2,5.2,0.22,0.27,2.83899,8.295750000000002,29.9,28.9,26.9,0.3,24.0,0.7,60.3200317382813
5,5,2,2,24695,187.5,16.7,151.47427999999996,49.3,59.6,7.0477,7.271200000000001,0.57,0.78,6.6245400000000005,2.49128,0.6,0.79,7.0626,2.5032,8.6,16.0,17.7,25.9,1.7,7.1,0.45,0.39,5.7663,4.6488000000000005,0.0,17.1,21.5,0.37,24.1,0.79,112.892419433594
5,5,2,2,17251,153.3,21.4,166.5361,43.9,60.1,1.5025000000000013,0.7752900000000005,0.95,0.86,12.275425,2.6644333333333328,0.94,0.75,10.592625,4.707833333333333,9.9,10.0,16.5,25.9,6.2,6.2,0.0,-0.57,0.0,-1.0277100000000003,11.2,24.5,21.1,0.47,28.6,1.88,111.692041015625
5,5,2,2,29583,244.7,17.4,180.62534,35.9,110.1,24.27705,5.064599999999999,0.51,0.68,9.54567,5.989439999999999,0.8,0.85,18.717,4.404000000000001,23.4,17.9,24.8,26.7,3.6,3.1,-0.1,-0.54,-2.69745,-5.945399999999999,23.6,5.3,32.3,0.17,36.9,0.62,111.901513671875
5,5,2,1,26977,199.2,18.9,158.78871333333333,48.4,78.1,6.794700000000001,18.72057,0.42,0.8,6.5604000000000005,2.1867999999999994,0.49,0.92,5.867913333333333,0.6123040000000003,18.7,29.5,7.7,17.8,7.6,2.2,-0.7,-0.06,-15.854299999999997,-1.1949299999999998,19.4,9.8,46.9,0.23,36.5,0.62,111.056665039063
5,5,1,2,14221,183.0,15.4,113.55767333333333,18.8,52.7,0.7114500000000014,0.6798300000000014,0.94,0.88,7.265573333333332,1.1889120000000006,0.94,0.9,11.14605,1.651266666666667,18.2,3.6,7.1,27.3,6.7,4.6,0.55,0.57,0.8695500000000017,0.9011700000000016,3.3,18.8,42.4,0.42,29.7,0.86,113.221185302734
5,5,2,2,22343,198.1,18.5,144.35019,35.9,83.1,2.70075,20.155905,0.75,0.93,14.4905625,1.4542499999999994,0.51,0.73,7.7345325,3.81429,9.3,8.3,17.2,3.8,6.7,9.0,-0.74,0.01,-7.686749999999999,0.2035949999999999,25.9,21.7,18.0,0.39,36.2,0.26,115.987268066406
5,5,2,2,16703,134.7,31.4,177.92414000000002,45.2,86.1,4.339439999999997,1.34316,0.79,0.9,15.304275000000002,2.2672999999999988,0.87,0.74,13.857795,6.49194,23.9,14.3,17.2,25.6,4.1,5.0,0.52,0.76,4.701059999999997,4.253339999999999,20.8,6.6,36.0,0.47,25.4,1.72,117.312219238281
5,5,2,1,14900,199.3,18.8,144.71494666666666,41.8,85.6,1.31824,17.24412,0.89,0.78,14.85588,5.586826666666664,0.49,0.73,5.103186666666666,2.264976,26.6,26.8,9.9,14.2,2.3,3.8,0.72,-0.21,3.3897599999999986,-4.58388,26.4,19.4,33.7,0.26,24.8,1.01,114.470788574219
5,5,2,2,20821,188.6,18.3,134.04450500000002,32.3,75.9,4.7817,6.48945,0.79,0.7,10.493175,5.996100000000001,0.81,0.89,13.679077500000002,2.25423,6.9,27.3,10.7,5.9,1.7,1.7,-0.4,0.1,-3.1878,0.72105,24.1,20.2,47.8,0.11,16.8,1.97,114.640191650391
