코어 종류,w1,l1,l2,h1/2,단면적(side),단면적(center),gap,A,B,C,D,E,F,총단면적
E10_5.5_5,4.8,1.175,2.75,4.25,5.64,11.28,0,10.2,7.95,2.35,5.5,4.25,4.8,48.96
E13_6_6,6.4,1.6,3.15,4.1,10.24,20.48,0,12.7,9.5,3.2,5.7,4.1,6.4,81.28
E13_7_4,3.7,1.85,2.6,4.5,6.845,13.69,0.04,12.6,8.9,3.7,6.5,4.5,3.7,46.62
E13_7_4,3.7,1.85,2.6,4.5,6.845,13.69,0.13,12.6,8.9,3.7,6.5,4.5,3.7,46.62
E13_7_4,3.7,1.85,2.6,4.5,6.845,13.69,0.3,12.6,8.9,3.7,6.5,4.5,3.7,46.62
E13_7_4,3.7,1.85,2.6,4.5,6.845,13.69,0.5,12.6,8.9,3.7,6.5,4.5,3.7,46.62
E16_8_5,4.7,2.35,3.3,5.7,11.045,22.09,0.06,16,11.3,4.7,8.2,5.7,4.7,75.2
E16_8_5,4.7,2.35,3.3,5.7,11.045,22.09,0.1,16,11.3,4.7,8.2,5.7,4.7,75.2
E16_8_5,4.7,2.35,3.3,5.7,11.045,22.09,0.24,16,11.3,4.7,8.2,5.7,4.7,75.2
E16_8_5,4.7,2.35,3.3,5.7,11.045,22.09,0.5,16,11.3,4.7,8.2,5.7,4.7,75.2
E19_8_5,4.7,2.35,4.85,5.7,11.045,22.09,0,19.1,14.3,4.7,8.1,5.7,4.7,89.77
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,0.09,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,0.1,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,0.15,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,0.17,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,0.25,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,0.5,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_5,5.3,2.6,5.15,6.3,13.78,27.56,1,20.7,12.8,5.2,10,6.3,5.3,109.71
E20_10_6,5.9,2.95,4.1,7,17.405,34.81,0.09,20,14.1,5.9,10.2,7,5.9,118
E20_10_6,5.9,2.95,4.1,7,17.405,34.81,0.1,20,14.1,5.9,10.2,7,5.9,118
