,min,max
w1,2.0032,52.3987
l1_leg,1.0010,12.9997
l1_top,1.0002,12.9988
l1_center,2.0005,25.9971
l2,2.6007,25.9991
h1,4.0088,53.1986
l2_tap,0.0000,0.0000
ratio,0.5000,0.5100
Tx_turns,14.0000,14.0000
Tx_tap,2.0041,34.9998
Tx_height,0.0351,0.1750
Tx_preg,0.0100,0.1000
Rx_turns,2.0000,2.0000
Rx_tap,2.0023,34.9979
Rx_height,0.0350,0.1750
Rx_preg,0.0100,0.1000
g1,0.1000,0.1000
g2,0.0359,0.5000
Tx_space_x,0.2002,5.5996
Tx_space_y,0.2001,6.8996
Rx_space_x,0.1002,4.9999
Rx_space_y,0.1013,4.9990
core_N_w1,0.0013,29.9999
core_P_w1,0.0027,29.9987
Tx_layer_space_x,0.1002,4.9985
Tx_layer_space_y,0.1011,4.9998
Rx_layer_space_x,0.1002,4.9992
Rx_layer_space_y,0.1005,4.9999
Tx_width,0.1012,10.7179
Rx_width,1.0003,19.9961
